date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:23:19	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5c228b72dc72c%22	https://elnewssss.produtoprincipal.com.br/robots.txt		(from )
21:23:19	147751/147751	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2000:23:20%20GMT	https://elnewssss.produtoprincipal.com.br/	C:/Users/netin/Desktop/sites/elnewssss/elnewssss.produtoprincipal.com.br/index.html	(from )
21:23:19	5307/5307	---M--	200	added ('OK')	image/png	etag:%2214bb-6404f6c3-ae6143888220d2dc;;;%22	https://escritoriolucrativo.com.br/wp-content/uploads/2022/07/favicon.png	C:/Users/netin/Desktop/sites/elnewssss/escritoriolucrativo.com.br/wp-content/uploads/2022/07/favicon.png	(from https://elnewssss.produtoprincipal.com.br/)
21:23:20	5602/5602	---M-Z	200	added ('OK')	text/css	etag:%2215e2-5f6304a9a8121-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-1.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-1.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:21	5602/5602	---M-Z	200	added ('OK')	text/css	etag:%2215e2-5f6304a9f0561-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-2.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-2.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:21	19555/19555	---M-Z	200	added ('OK')	text/css	etag:%224c63-5f6304aa49343-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-3.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-3.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:21	19555/19555	---M-Z	200	added ('OK')	text/css	etag:%224c63-5f6304aaa30c4-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-4.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-4.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:21	85698/85698	---M-Z	200	added ('OK')	text/css	etag:%2214ec2-5f6304ab06a85-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-5.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-5.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:22	85698/85698	---M-Z	200	added ('OK')	text/css	etag:%2214ec2-5f6304ab6a446-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-6.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-6.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:22	12876/12876	---M-Z	200	added ('OK')	text/css	etag:%22324c-5f6304abb0947-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-7.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-7.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:22	12876/12876	---M-Z	200	added ('OK')	text/css	etag:%22324c-5f6304abf6e48-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-8.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-8.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:22	1364/1364	---M-Z	200	added ('OK')	text/css	etag:%22554-5f6304ac3d348-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-9.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-9.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:23	1364/1364	---M-Z	200	added ('OK')	text/css	etag:%22554-5f6304ac83849-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-10.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-10.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:23	11405/11405	---M-Z	200	added ('OK')	text/css	etag:%222c8d-5f6304accbc8a-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-11.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-11.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:23	11405/11405	---M-Z	200	added ('OK')	text/css	etag:%222c8d-5f6304ad111eb-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-12.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-12.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:23	39192/39192	---M-Z	200	added ('OK')	text/css	etag:%229918-5f6304ad6614c-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-13.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-13.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:23	39192/39192	---M-Z	200	added ('OK')	text/css	etag:%229918-5f6304adbb0ad-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-14.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-14.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:24	60304/60304	---M-Z	200	added ('OK')	text/css	etag:%22eb90-5f6304ae1ea6e-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-15.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-15.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:24	60304/60304	---M-Z	200	added ('OK')	text/css	etag:%22eb90-5f6304ae8242f-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-16.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-16.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:24	6024/6024	---M-Z	200	added ('OK')	text/css	etag:%221788-5f6304aec98d0-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-17.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-17.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:24	6024/6024	---M-Z	200	added ('OK')	text/css	etag:%221788-5f6304af0fdd1-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-18.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-18.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:25	11235/11235	---M-Z	200	added ('OK')	text/css	etag:%222be3-5f6304af19a11-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-19.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-19.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:25	11235/11235	---M-Z	200	added ('OK')	text/css	etag:%222be3-5f6304af245f1-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-20.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-20.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:25	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-5f6304af87012-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-21.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-21.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:25	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%22e238-5f6304afeb973-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-22.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-22.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:25	861/861	---M-Z	200	added ('OK')	text/css	etag:%2235d-5f6304b031e74-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-23.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-23.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:26	861/861	---M-Z	200	added ('OK')	text/css	etag:%2235d-5f6304b078375-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-24.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-24.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:26	869/869	---M-Z	200	added ('OK')	text/css	etag:%22365-5f6304b0d1156-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-25.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-25.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:26	869/869	---M-Z	200	added ('OK')	text/css	etag:%22365-5f6304b1185f7-gzip%22	https://app.clonou.com.br/storage/css-site/1836/elnewsss-26.css	C:/Users/netin/Desktop/sites/elnewssss/app.clonou.com.br/storage/css-site/1836/elnewsss-26.css	(from https://elnewssss.produtoprincipal.com.br/)
21:23:27	3419/3419	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2000:23:28%20GMT	https://elnewssss.produtoprincipal.com.br/wp-content/themes/twentytwentytwo/assets/fonts/source-serif-pro/SourceSerif4Variable-Roman.ttf.woff2	C:/Users/netin/Desktop/sites/elnewssss/elnewssss.produtoprincipal.com.br/wp-content/themes/twentytwentytwo/assets/fonts/source-serif-pro/SourceSerif4Variable-Roman.ttf.1b.delayed	(from https://elnewssss.produtoprincipal.com.br/)
21:23:28	3419/3419	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2000:23:29%20GMT	https://elnewssss.produtoprincipal.com.br/wp-content/themes/twentytwentytwo/assets/fonts/source-serif-pro/SourceSerif4Variable-Italic.ttf.woff2	C:/Users/netin/Desktop/sites/elnewssss/elnewssss.produtoprincipal.com.br/wp-content/themes/twentytwentytwo/assets/fonts/source-serif-pro/SourceSerif4Variable-Italic.ttf.1c.delayed	(from https://elnewssss.produtoprincipal.com.br/)
